iter	Passed	Remaining
163	234	1197
164	235	1191
165	235	1185
166	236	1179
167	236	1172
168	237	1166
169	237	1160
170	238	1154
171	238	1148
172	239	1142
173	239	1136
174	239	1131
175	240	1125
176	240	1119
177	241	1113
178	241	1108
179	242	1102
180	242	1097
181	242	1091
182	243	1086
183	243	1081
184	244	1075
185	244	1070
186	245	1065
187	245	1060
188	245	1055
189	246	1049
190	246	1044
191	247	1039
192	247	1035
193	247	1030
194	248	1025
195	248	1020
196	249	1015
197	249	1010
198	249	1006
199	250	1001
200	250	997
201	251	992
202	251	988
203	252	983
204	252	979
205	252	974
206	253	970
207	253	966
208	254	962
209	254	958
210	255	953
211	255	949
212	255	945
213	256	941
214	256	937
215	257	933
216	257	929
217	258	925
218	258	921
219	258	918
220	259	914
221	259	910
222	260	907
223	260	903
224	261	899
225	261	895
226	261	892
227	262	888
228	262	884
229	263	881
230	263	877
231	264	874
232	264	870
233	264	866
234	265	863
235	265	859
236	266	856
237	266	853
238	266	849
239	267	846
240	267	842
241	268	839
242	268	836
243	268	832
244	269	829
245	269	826
246	270	823
247	270	819
248	270	816
249	271	813
250	271	810
251	272	807
252	272	804
253	273	802
254	273	799
255	273	796
256	274	793
257	274	790
258	275	787
259	275	784
260	276	781
261	276	778
262	276	775
263	277	772
264	277	769
265	277	766
266	278	764
267	278	761
268	279	758
269	279	755
270	279	753
271	280	750
272	280	747
273	281	745
274	281	742
275	282	739
276	282	737
277	282	734
278	283	732
279	283	729
280	284	727
281	284	725
282	285	722
283	285	720
284	286	717
285	286	715
286	287	713
287	287	710
288	287	708
289	288	705
290	288	703
291	289	701
292	289	698
293	289	696
294	290	693
295	290	691
296	291	689
297	291	686
298	292	684
299	292	682
300	292	680
301	293	677
302	293	675
303	294	673
304	294	671
305	294	669
306	295	666
307	295	664
308	296	662
309	296	660
310	297	658
311	297	656
312	297	654
313	298	651
314	298	649
315	299	647
316	299	645
317	299	643
318	300	641
319	300	639
320	301	637
321	301	635
322	301	632
323	302	630
324	302	628
325	303	626
326	303	624
327	304	622
328	304	620
329	304	618
330	305	616
331	305	615
332	306	613
333	306	611
334	306	609
335	307	607
336	307	605
337	308	603
338	308	601
339	309	599
340	309	597
341	309	596
342	310	594
343	310	592
344	311	590
345	311	588
346	312	587
347	312	585
348	312	583
349	313	581
350	313	580
351	314	578
352	314	576
353	315	574
354	315	573
355	315	571
356	316	569
357	316	567
358	317	566
359	317	564
360	317	562
361	318	561
362	318	559
363	319	557
364	319	556
365	320	554
366	320	552
367	320	551
368	321	549
369	321	548
370	322	546
371	322	544
372	323	543
373	323	541
374	323	539
375	324	538
376	324	536
377	325	535
378	325	533
379	326	532
380	326	530
381	326	528
382	327	527
383	327	525
384	328	524
385	328	522
386	329	521
387	329	519
388	329	518
389	330	516
390	330	515
391	331	513
392	331	512
393	331	510
394	332	509
395	332	507
396	333	506
397	333	504
398	334	503
399	334	501
400	335	500
401	335	499
402	335	497
403	336	496
404	336	494
405	337	493
406	337	491
407	337	490
408	338	488
409	338	487
410	339	486
411	339	484
412	339	483
413	340	481
414	340	480
415	341	478
416	341	477
417	342	476
418	342	474
419	342	473
420	343	472
421	343	470
422	344	469
423	344	467
424	344	466
425	345	465
426	345	463
427	346	462
428	346	461
429	346	459
430	347	458
431	347	457
432	348	455
433	348	454
434	349	453
435	349	452
436	349	450
437	350	449
438	350	448
439	351	446
440	351	445
441	351	444
442	352	442
443	352	441
444	353	440
445	353	439
446	353	437
447	354	436
448	354	435
449	355	434
450	355	432
451	355	431
452	356	430
453	356	428
454	357	427
455	357	426
456	357	425
457	358	424
458	358	423
459	359	421
460	359	420
461	360	419
462	360	418
463	360	416
464	361	415
465	361	414
466	362	413
467	362	412
468	362	410
469	363	409
470	363	408
471	364	407
472	364	406
473	364	404
474	365	403
475	365	402
476	366	401
477	366	400
478	366	399
479	367	397
480	367	396
481	368	395
482	368	394
483	369	393
484	369	392
485	370	391
486	370	390
487	370	389
488	371	387
489	371	386
490	372	385
491	372	384
492	372	383
493	373	382
494	373	381
495	374	380
496	374	379
497	374	377
